ImageNumber,DRGrade,Sharpness,Brightness,Contrast,RetinalCoveragePercent,SharpScore,BrightnessScore,ContrastScore,QualityScore,Status
1,0,45.4854860203038,97.2672680272109,50.9233714569783,78.661768707483,0.454854860203038,0.759900531462585,0.848722857616305,66.4528960804882,BORDERLINE
2,0,13.9009984281007,58.0486828893629,32.521776308589,63.1571344446672,0.139009984281007,0.453505335073147,0.54202960514315,35.4264475777292,UNGRADABLE
3,0,40.6177110856247,75.6389360544218,42.1052658945073,78.5166439909297,0.406177110856247,0.59092918792517,0.701754431575122,55.0275930192586,BORDERLINE
4,0,23.2894059324142,20.9151515960693,23.6657460694907,46.9794591267904,0.232894059324142,0.163399621844292,0.394429101158178,26.0506240630398,UNGRADABLE
5,0,41.211752726253,84.2738775510204,46.1377498050506,78.6152380952381,0.41211752726253,0.658389668367347,0.768962496750843,59.3052660440469,BORDERLINE
6,2,15.6978303199478,80.1483948217719,39.8662279053314,83.210146641438,0.156978303199478,0.626159334545093,0.664437131755524,44.9970261169976,UNGRADABLE
7,2,6.18139305377794,52.2096494993695,30.4893764532726,75.2805953004421,0.0618139305377794,0.407887886713824,0.508156274221211,29.9538820495622,UNGRADABLE
8,2,6.70752532204241,70.0803901256825,42.1997355490128,74.4075153259918,0.0670752532204241,0.547503047856894,0.703328925816881,40.2079693390302,UNGRADABLE
9,2,7.39438749345562,29.6772121822571,15.4419654806034,50.3325831645388,0.0739438749345562,0.231853220173883,0.25736609134339,17.6343343429005,UNGRADABLE
10,4,12.6014132452007,72.9215413156023,50.7211446643978,68.640766048699,0.126014132452007,0.569699541528143,0.845352411073297,47.4921238761235,UNGRADABLE
